event_date,users,minutes,impressions,clicks,minutes_per_user
2024-09-16,9387,3131595.08,107258.0,93383.0,334.0
2024-09-17,8284,1747986.32,59752.0,51850.0,211.0
2024-09-18,6176,1408088.81,59203.0,64323.0,228.0
2024-09-19,8218,1485778.57,53234.0,58557.0,181.0
2024-09-20,8157,1699858.88,68435.0,83025.0,208.0
2024-09-21,9019,1498320.97,34411.0,42250.0,166.0
2024-09-22,7978,1614294.16,36867.0,54505.0,202.0
2024-09-23,6079,1376661.77,31344.0,49819.0,226.0
2024-09-24,7562,1714208.73,85582.0,99660.0,227.0
2024-09-25,8386,1520494.46,51518.0,58566.0,181.0
2024-09-26,10084,1708361.81,62174.0,65483.0,169.0
2024-09-27,9768,1845238.65,51316.0,53494.0,189.0
2024-09-28,10199,1596106.39,49036.0,39859.0,156.0
2024-09-29,10839,1821588.06,54796.0,42895.0,168.0
2024-09-30,9275,1639911.1,49866.0,53522.0,177.0
2024-10-01,10221,1865951.83,59451.0,61876.0,183.0
2024-10-02,11146,2221245.37,99540.0,101359.0,199.0
2024-10-03,8714,1644027.3,47441.0,64639.0,189.0
2024-10-04,3010,456377.0,121.0,34911.0,152.0
